"x"
"1" ""
"x"
"1" "H1_13"
"query_cluster","template_cluster","blindBLAST_error_count","blindBLAST_sd","gbm_error_count","gbm_sd","improvement_by_gbm"
"10","L2-8-none","L2-8-4",1.66666666666667,0.577350269189626,0,0,1.66666666666667
"8","L2-8-4","L2-8-none",0.666666666666667,0.577350269189626,0,0,0.666666666666667
"7","L2-8-4","L2-8-1",8.33333333333333,0.577350269189626,8.33333333333333,0.577350269189626,0
"6","L2-8-3","L2-8-1",0,0,2,0.577350269189626,-2
"2","L2-8-1","L2-8-3",0,0,2.33333333333333,0,-2.33333333333333
"x"
"1" "
"
"x"
"1" "L3_10"
"query_cluster","template_cluster","blindBLAST_error_count","blindBLAST_sd","gbm_error_count","gbm_sd","improvement_by_gbm"
"4","L3-10-none","L3-10-cis7,8-1",7.66666666666667,1.52752523165195,0,0,7.66666666666667
"3","L3-10-none","L3-10-1",9.66666666666667,1.15470053837925,5.33333333333333,0.577350269189626,4.33333333333333
"1","L3-10-1","L3-10-none",6,0,2.33333333333333,0.577350269189626,3.66666666666667
"2","L3-10-cis7,8-1","L3-10-none",2.66666666666667,1.15470053837925,0,0,2.66666666666667
"x"
"1" "
"
"x"
"1" "L3_11"
"query_cluster","template_cluster","blindBLAST_error_count","blindBLAST_sd","gbm_error_count","gbm_sd","improvement_by_gbm"
"2","L3-11-none","L3-11-1",10,0,0,0,10
"1","L3-11-1","L3-11-none",2.33333333333333,0.577350269189626,0.666666666666667,0,1.66666666666667
"x"
"1" "
"
"x"
"1" "L3_8"
"query_cluster","template_cluster","blindBLAST_error_count","blindBLAST_sd","gbm_error_count","gbm_sd","improvement_by_gbm"
"5","L3-8-none","L3-8-1",13,0.577350269189626,2.33333333333333,1,10.6666666666667
"6","L3-8-none","L3-8-2",7.5,1,0,0,7.5
"2","L3-8-1","L3-8-none",5.5,0.577350269189626,2,0.577350269189626,3.5
"4","L3-8-2","L3-8-none",2,0.577350269189626,0.333333333333333,0.577350269189626,1.66666666666667
"3","L3-8-2","L3-8-1",3,0,3.66666666666667,1.52752523165195,-0.666666666666667
"1","L3-8-1","L3-8-2",1,0.577350269189626,4.66666666666667,0.577350269189626,-3.66666666666667
"x"
"1" "
"
"x"
"1" "L3_9"
"query_cluster","template_cluster","blindBLAST_error_count","blindBLAST_sd","gbm_error_count","gbm_sd","improvement_by_gbm"
"15","L3-9-none","L3-9-cis7-1",18.6666666666667,0.577350269189626,0,0,18.6666666666667
"13","L3-9-none","L3-9-1",9.33333333333333,0.577350269189626,0,0,9.33333333333333
"5","L3-9-2","L3-9-cis7-1",19.6666666666667,0.577350269189626,11.3333333333333,2.51661147842358,8.33333333333333
"10","L3-9-cis7-1","L3-9-none",6.66666666666667,0.577350269189626,0,0,6.66666666666667
"8","L3-9-cis7-1","L3-9-cis7-2",8.66666666666667,0.577350269189626,3.66666666666667,1.15470053837925,5
"14","L3-9-none","L3-9-2",4,0,0,0,4
"3","L3-9-1","L3-9-none",3.66666666666667,0.577350269189626,0,0,3.66666666666667
"9","L3-9-cis7-1","L3-9-cis7-3",5,1.73205080756888,2.66666666666667,0,2.33333333333333
"11","L3-9-cis7-2","L3-9-cis7-1",5.66666666666667,1.15470053837925,3.66666666666667,1.52752523165195,2
"2","L3-9-1","L3-9-cis7-1",2,0,0,0,2
"16","L3-9-none","L3-9-cis7-2",2,0,0,0,2
"6","L3-9-2","L3-9-cis7-2",1,0,0,0,1
"12","L3-9-cis7-3","L3-9-cis7-1",4.66666666666667,1.15470053837925,6,1.15470053837925,-1.33333333333333
"4","L3-9-2","L3-9-1",0.666666666666667,0.577350269189626,5,1.52752523165195,-4.33333333333333
"7","L3-9-cis7-1","L3-9-2",6.66666666666667,0.577350269189626,11.6666666666667,0.577350269189626,-5
"1","L3-9-1","L3-9-2",0,0,5.33333333333333,1,-5.33333333333333
"x"
"1" "
"
